"City of Residence, current","Country of Residence, current",Gender,Latest education status,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
"Binan, Laguna",Philippines,Male,College degree,Not currently using any digital tools for learning,,Professional,Work city different from residence,Bonifacio Global City ,"45,001 to 55, 000",Other - specify,,Software Engineer,"Data Engineer, Data Analyst, Software Engineer, Cloud Architect, Developer",6 to 10,,"Pandas, Spark","Big Query, Snowflake",Airflow,Apache Superset,,,,Amazon Web Services (AWS),"Apache Spark, Apache Kafka, PostgreSQL, Elasticsearch","Google sheets, Excel, Google Drive","Python, SQL","Chatgpt, Gemini",. ,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AWS AI/ML, Power BI Users Meetup, Software DevOps & Data",Upskill / Skill acquisition,Co-training/ Training,_,"LinkedIn, Indeed, JobStreet",_,33
"Valenzuela, Philippines ",Philippines,Male,,"Datacamp, Freecodecamp, HackerRank",Not working,Career shifter,Work city same as residence,Calamba laguna,"15,000 and below",Full-time,100% onsite,Planning,Data Analyst,1 - Just me,,,,,,"None, ","dbt Expectations, Recce",Just dbt-metabase + dbt docs for now,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","SQL, c#","Chatgpt, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AWS AI/ML, DEVCON Philippines, Python Philippines",none,Answer surveys,-,Indeed,Multinational employer,22
"batangas, philippines",Philippines,Male,,Coursera,PhD Student,Student/ New grad/ Career Break,.,/,,-,_,.,.,na,none,_,na,. ,/,not applicable,.,not applicable,not applicable,na,"Google sheets, Excel, Google Drive, Slack, Discord",na,"Chatgpt, Gemini","Kaggle Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.",. ,"Data Analytics Philippines, Data and Analytics Manila, Data Science Manila, Datasense Philippines, Power BI Philippines UG, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,na,NONE,Local employer,25
"Makati, Philippines",Philippines,Male,College degree,W3Schools,"IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"15,001 to 25,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Management, Data Engineer, Business Analyst",6 to 10,,Power Query,Big Query,Airflow,"Power BI, Tableau",,na,,,Don't know,Excel,Javascript,Chatgpt,Colab Notebooks,laptop,"No, I just found out now.",NONE,"Java User Group Philippines, Power BI Users Meetup, Python Philippines, R User Group - Philippines",na,"Answer surveys, Coordinate during events, Resource for specific topic",NONE,"Indeed, Upwork",Local employer,22
"Legazpi City, Albay",Philippines,Male,Secondary school student,"Coursera, Datacamp, Udemy",Banking / Finance / Insurance,Student/ New grad/ Career Break,. ,_,, ,none,none,not applicable,_,_,NONE,/,. ,not applicable,None,none,NONE,not applicable,_,"Google sheets, Google Drive, Discord","DAX (Power BI), Javascript, M language (Power Query), Python, R, SQL, VBA","Chatgpt, Claude, Gemini",Databricks Notebook,workstation,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, Analytics Association of the Philippines, Artificial Intelligence Philippines, Community: SPARTA PH, Data Analytics Philippines, Digital Analytics Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups",/,None,Student,28
"Naga city,Camarines Sur,Philippines",Philippines,Male,Other - specify,Datacamp,Energy,Student/ New grad/ Career Break,not applicable,NONE,,/, ,. , _,None,not applicable,none, , _, ,NONE,., _,/,. ,"Google sheets, Excel, Google Drive, Trello, Discord",Python,Chatgpt,"Code Ocean, ",laptop,"No, I just found out now.","Yes, I have used at least one resource.","[Manila] BIG DATA Tech Group, PyData Philippines, Python Philippines","Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives, Volunteer to speak in events",Make a AI base chatbot to answer common/usual question provide by the member.,.,Local employer,41
"Rodriguez, Philippines",Philippines,Male,College degree,"Cisco, Datacamp, Freecodecamp, Udemy, W3Schools",Not working,Career shifter,Work city same as residence,Ligao City,"95,001 to 100,000",Full-time,100% onsite,Data Analyst,Data Analyst,4 to 5,,,,,,.,"Don't know, None",,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Javascript, Python, SQL, VBA","Chatgpt, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Datasense Philippines, Digital Analytics Philippines, Programmers,Developers","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors",.,Di pa hired as freelance.,Student,20
"Las Pinas, Philippines ",Philippines,Male,College degree,"Udemy, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Student/ New grad/ Career Break,NONE,None,,na,/,.,not applicable,.,None,. ,none,.,/,-,-,na,na,na,Discord,"Javascript, Python","Chatgpt, Gemini",,desktop,"No, I just found out now.","Yes, I have used at least one resource.","Python Philippines, Programming Coding, C++ for student and beginner","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events",Encourage Feedback,not applicable,Multinational employer,20
"Davao City, Philippines",Philippines,Female,College degree,"Coursera, Datacamp",Not working,Student/ New grad/ Career Break,.,_,,.,none,na,/,_,na,_,not applicable, ,None,na,NONE,. ,_,NONE,"Google sheets, Excel, Google Drive, OneDrive, Discord",.,"No, I do not use AI currently",.,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",DEVCON Philippines,"Career advancement, Continued learning, Network","Joint initiative with other groups, Co-training/ Training",_,na,Multinational employer,33
"Baliuag City, Philippines",Philippines,Female,College degree,"Datacamp, Udemy, W3Schools",Recruitment Firm,Professional,Work city same as residence,"Baliuag City, Bulacan","35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Data Strategist,"Data Analyst, Business Analyst",6 to 10,"Don't know, None","Don't know, None","Don't know, None",,"Power BI, Excel",N.A,. ,,,"Don't know, None","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Asana, Trello, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), Javascript, SQL, VBA","No, I do not use AI currently",Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.",not applicable,"Data Analytics Philippines, FTW Foundation, Power BI Philippines UG, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Mentor, Co-training/ Training, Volunteer for group initiatives","To have high engagement within the group, I think it would be good to have a weekly quizzes to know if they're absolutely learning and have monthly kamustahan & quick catch-up on what's going on within the data world.","LinkedIn, Indeed",Local employer,32
"Caloocan, Philippines",Philippines,Male,College degree,"Freecodecamp, W3Schools","IT, BPO, and Business Services",Career shifter,Work city same as residence,caloocan,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,IT engineer,Data Analyst,1 - Just me,"Don't know, None","Don't know, None",,,,,,,,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, Discord",None,Chatgpt,.,laptop,"No, I just found out now.","No, I just browsed through.",NONE,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Joint initiative with other groups,"curate all questions from comment section every week then will be answered by a zoom meeting once every week(good for recording). after the zoom, closed the comment section then create another post for next week.",OnlineJobs.ph,"Foreign Employer, Direct Hire",26
"Mandaluyong, Philippines",Philippines,Prefer not to say,,"Brilliant, Kaggle Online course, Power Up Program, Udemy, Zoomcamp",LGU,Professional,Work city same as residence,Taguig City,"25,001 to 35,000",Full-time,Hybrid,Data Engineer,"Data Engineer, Analytics Engineer, Cloud Architect",2 to 3,Don't know,Don't know,AWS Redshift,,Looker,,/,not applicable,"Amazon Web Services (AWS), Snowflake",Oracle Database,"Excel, Google Drive, OneDrive, Monday.com, MS Teams","DAX (Power BI), M language (Power Query), Python, R, SQL",Chatgpt,Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, Analytics Association of the Philippines, Power Apps Pilipinas Community, Power BI Philippines UG","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Resource for specific topic",,Jobstreet,Multinational employer,38
"Quezon City, Philippines",Philippines,Male,PhD degree,"Datacamp, LeetCode, Zoomcamp, Official documentations",Retail,Professional,Work city different from residence,Quezon City,"45,001 to 55, 000",Full-time,Hybrid,Management,"Data Analyst, Business Analyst, Software Engineer, Analytics Engineer, Developer",6 to 10,Azure Databricks,Excel Power Query,,,,,Don't know, ,"Microsoft Azure, Snowflake, Databricks",,"Excel, OneDrive, Trello, MS Teams, Slack","Python, SQL",Chatgpt,none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Python Philippines,Just curious ,"Answer surveys, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training",,LinkedIn,Local employer,25
"Mandaluyong, Philippines",Philippines,Male,,"Udemy, Youtube bootcamp",Freelance,Career shifter,Work city same as residence,Quezon City,"35,001 to 45,000",Full-time,Hybrid,Production Support and Developer,"Developer, Production Support",6 to 10,We used Azure data factory to ingest data for migration,"Pandas, Spark, Azure Data Factory",,Don't know,"Looker, Power BI, Tableau",,,,"Amazon Web Services (AWS), Microsoft Azure","Apache Spark, PostgreSQL","Excel, Google Drive, OneDrive, MS Teams, Slack, Discord","M language (Power Query), SQL",,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",Power BI Philippines UG,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups",na,My network  - people I know,Taking a career break at the moment,25
"Cebu City, Philippines",Philippines,Male,College degree,Datacamp,Banking / Finance / Insurance,Professional,Work city same as residence,Pasay,"35,001 to 45,000",Contract fixed timeline,100% onsite,Developer,"Business Analyst, Developer",11 to 30,"None, MS Form","SQL, PREP","Snowflake, Dataverse",ZenML,Power BI,,"Don't know, None",Currently building a data catalog,"Microsoft Azure, Databricks",SAS EG,"Excel, OneDrive, MS Teams","DAX (Power BI), M language (Power Query)",Chatgpt,"Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",FTW Foundation,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Answer surveys,,LinkedIn,Multinational employer,25
"Aleosan, North Cotabato ",Philippines,Male,College degree,"Coursera, Udemy",Freelance,Career shifter,Work city different from residence,Aleosan ,"95,001 to 100,000",Other - specify,Not working,Document Controller,Data Analyst,30+,NONE,not applicable,_,None,na,. ,not applicable,Don't know,Oracle,-,"Google sheets, Excel, Google Drive, Clickup, Zoom, Google Meet, Slack, Discord","Appscript (Google), Javascript, Python, R, SQL, Typescript, VBA",Chatgpt,-,workstation,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Continued learning, Decision to shift, Upskill / Skill acquisition",Answer surveys,Joining training STAGE Academy,"LinkedIn, OnlineJobs.ph",Multinational employer,20
"Caloocan, Philippines",Philippines,Male,College degree,"Coursera, Datacamp",Banking / Finance / Insurance,Student/ New grad/ Career Break,. ,none,,. ,/,not applicable,not applicable,_,. ,NONE,none, , ,_,.,-,None,None,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Monday.com, Zoom, MS Teams, Google Meet, Discord",DAX (Power BI),Chatgpt,-,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, DEVCON Philippines, Digital Analytics Philippines, WiTech, Women Who Code Manila","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Resource for specific topic, Volunteer for group initiatives",not applicable,NONE,Local employer,20
"Cebu City, Philippines",Philippines,Male,College degree,Youtube bootcamp,"IT, BPO, and Business Services",Professional,Work city different from residence,WFH,"65,001 to 75,000",Full-time,Mostly work from home/ fully remote,Data Entry with Analysis,Data Analyst,6 to 10,Databricks,"Pandas, Spark",Snowflake,Airflow,Don't know,Don't know,Don't know,Don't know,"Microsoft Azure, Snowflake",NONE,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, Google Meet, Slack, Discord","These past few months, I used excel for Data Analytics Fundamental course subject and Cisco for Computer Networks course subject","No, I do not use AI currently","Kaggle Notebooks, Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop and desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, AIM-Master of Science in Data Science, Community: SPARTA PH, Data Analytics Philippines, Data Ethics PH, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), DataScience and BigData Cebu, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, NASA Space Apps Philippines, PizzaPy - Cebu Python Users Group, Power BI Philippines UG, PyData Philippines, Python Philippines, She loves data, SPARTA PH: Data Engineer, WE-Tech Community, WiTech, Women Who Code Manila","Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",By answering question of fellow learners about programming language that related to the course,LinkedIn,"local employer, au client",22
General Santos City,Philippines,Male,College degree,Udemy,"IT, BPO, and Business Services",Freelance,na,Gensan,"15,001 to 25,000",Full-time,Unemployed,Accounting Staff,Staff,6 to 10,"Don't know, None","Don't know, None","Don't know, None",,"Don't know, None","Don't know, None",Elementary,I currently have no knowledge in this,"Amazon Web Services (AWS), Snowflake",Don't know,"Google sheets, Excel, Google Drive, Google Meet, Slack",Appscript (Google),Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Data Science Philippines Discussion Group (Moderated)","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",None so far. The messenger channels are organized and the members are very responsive of the inquiries,OnlineJobs.ph,Multinational employer,21
"Alexandria, Egypt",Egypt,Male,College degree,Datacamp,Banking / Finance / Insurance,Career shifter,Work city same as residence,Alexandria,"15,000 and below",Full-time,Unemployed,Data Analyst,Data Analyst,4 to 5,,Pandas,Big Query,,Tableau,"None, IBM Websphere Cast Iton",Elementary,Collibra,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure",PostgreSQL,Excel,SQL,"No, I do not use AI currently",Replit,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, SPARTA PH: Data Engineer","Continued learning, Upskill / Skill acquisition",Answer surveys,,LinkedIn,none,32
"Manila, Philippines",Philippines,Male,College degree,"AWS Cloud Certification, Codecademy, MicrosoftLearn, W3Schools","IT, BPO, and Business Services",Career shifter,Work city different from residence,BGC,"85,001 to 95,000",Contract fixed timeline,Mostly work from home/ fully remote,Data Encoder,Data Analyst,1 - Just me,,,Don't know,Don't know,,,Don't know,,,Oracle Database,"Excel, OneDrive, Trello, Zoom, MS Teams, Google Meet, Discord","Javascript, SQL",Copilot,Colab Notebooks,desktop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition",.,not applicable,LinkedIn,Multinational employer,31
"Giza,Egypt",Egypt,Female,College degree,"Coursera, Datacamp, Google Analytics, IBM Skills Gateway, Kaggle Online course, LinkedIn Learning, Udacity, Udemy, W3Schools, Youtube bootcamp",Real estate development ,Career shifter,Work city same as residence,6october-Giza,"15,000 and below",Full-time,100% onsite,Data Analyst,"Data Analyst, Business Analyst",4 to 5,Don't know,Don't know,Snowflake,Don't know,"Power BI, Tableau",,Don't know,Don't know,"Microsoft Azure, Snowflake",Don't know,"Google sheets, Excel, Google Drive, OneDrive, Asana, Trello, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), R, SQL","Chatgpt, Copilot, Gemini","Kaggle Notebooks, Colab Notebooks",laptop,"No, I just found out now.","No, I just browsed through.",Analytics Association of the Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Joint initiative with other groups, Resource for specific topic, Volunteer for group initiatives",Try to enhance the technical skills as much as possible ,"LinkedIn, My network  - people I know",Local employer,22
"Iba, Zambales",Philippines,Female,College degree,"Coursera, Datacamp","IT, BPO, and Business Services",Professional,Work city different from residence,Tagum City,"85,001 to 95,000",Full-time,Mostly work from home/ fully remote,Application Support,Application Support,NONE,Don't know,Spark,Databricks,"Airflow, Daasity",Power BI,Don't know,Don't know,Don't know,Microsoft Azure,Apache Spark,"Google sheets, Excel, Google Drive, OneDrive, Trello, MS Teams",na,"No, I do not use AI currently",,laptop,"No, I just found out now.","No, I just browsed through.",,"Decision to shift, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",None,LinkedIn,Local employer,28
Pangasinan ,Philippines,Male,College degree,Datacamp,"IT, BPO, and Business Services",Professional,Work city same as residence,Quezon city,"c.250,001 and above",Full-time,Mostly work from home/ fully remote,Data Scientist,"Management, Data Engineer, Data Analyst, Business Analyst, Analytics Engineer, Machine Learning Engineer, AI Engineer",1 - Just me,"None, MS fabric","Pandas, Spark, ",,,Power BI,,. ,,,,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Slack",Python,Chatgpt,,laptop,"No, I just found out now.","No, I just browsed through.","[Manila] BIG DATA Tech Group, AI Design Philippines, AI Pilipinas","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,"The current means of communication is very successful, so I don't have anything to recommend. ",My network  - people I know,Local employer,25
"Cebu City, Philippines",Philippines,LGBTQ+,College degree,"Datacamp, Udemy, W3Schools","IT, BPO, and Business Services",Professional,Work city different from residence,Pasig City,"35,001 to 45,000",Full-time,100% onsite,Business Analyst,"Data Engineer, Data Analyst, Business Analyst, UI/UX Designer",11 to 30,not applicable,,,,Power BI,,,,Amazon Web Services (AWS),,"Google sheets, Excel, OneDrive, MS Teams","DAX (Power BI), M language (Power Query), VBA","No, I do not use AI currently",.,workstation,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, AIM-Master of Science in Data Science, Community: SPARTA PH, Datasense Philippines, PizzaPy - Cebu Python Users Group, Project SPARTA",Upskill / Skill acquisition,"Answer surveys, Coordinate during events, Mentor, Co-training/ Training, Volunteer for group initiatives",,LinkedIn,Local employer,28
"Davao City, Philippines",Philippines,LGBTQ+,Other - specify,"Datacamp, MicrosoftLearn, Udemy, Youtube bootcamp",Not working,Student/ New grad/ Career Break,NONE, _,,-,-,na, ,not applicable, ,none,-,na,. ,/, _,NONE,NONE,none,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Discord","DAX (Power BI), M language (Power Query), VBA","Chatgpt, Copilot","Kaggle Notebooks, Colab Notebooks",laptop,"No, I just found out now.","No, I just browsed through.","AIM-Master of Science in Data Science, Analytics Association of the Philippines, Artificial Intelligence Philippines, Big Data Analytics PH, Community: SPARTA PH, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, Power BI Philippines UG, SPARTA PH: Data Engineer, Women Who Code Manila","Career advancement, Continued learning, Network","Answer surveys, Connect with sponsors, Coordinate during events, Resource for specific topic",None so far,na,Multinational employer,26
"Marikina City, Philippines",Philippines,Male,College degree,"Coursera, Google Analytics, LinkedIn Learning, Udemy",Banking / Finance / Insurance,Professional,Work city same as residence,Quezon City ,"35,001 to 45,000",Full-time,100% onsite,Technical Support ,,1 - Just me,none,NONE,,,. ,,,Open Metadata,"Don't know, None",. ,"Excel, OneDrive, MS Teams",M language (Power Query),Chatgpt,NONE,workstation,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Co-training/ Training, Volunteer for group initiatives",none,"My network  - people I know, ",Multinational employer,26
"Manila, Philippines",Philippines,Male,College degree,"Coursera, Datacamp, Youtube bootcamp","IT, BPO, and Business Services",Student/ New grad/ Career Break,/,None,,none,NONE,none,NONE, _,None, ,None,/,-,-,.,. ,na,-,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",not applicable,"Chatgpt, Claude, Gemini",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","AI Design Philippines, AWS AI/ML, Data Science Philippines, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, PyData Philippines, Python Philippines, WE-Tech Community, WiTech","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Regularly post content, Resource for specific topic, Co-training/ Training",Nothing,_,Local employer,24
"Taguig, Philippines",Philippines,LGBTQ+,Secondary school student,"Datacamp, Freecodecamp, LinkedIn Learning, MicrosoftLearn, Youtube bootcamp, Forex Trading","IT, BPO, and Business Services",Student/ New grad/ Career Break,-,none,,na,not applicable,.,na, _,not applicable,none,None,None, _,na,na,NONE,-,na,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Slack, Discord","Javascript, Python, SQL, Typescript","Chatgpt, Copilot, Gemini",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",Only DEP right now ,Not a member. Not interested to join thr FB group,"Answer surveys, Connect with sponsors",. ,not applicable,Multinational employer,40
"Paranaque, Philippines",Philippines,Male,Secondary school student,Datacamp,Government ,Professional,Work city different from residence,Makati City,,Full-time,Hybrid,Data Analyst,Data Scientist,6 to 10,,Pandas,,"Don't know, None", ,,_,NONE,_,,Excel,"Python, SQL","Chatgpt, Copilot", _,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power BI Philippines UG","Career advancement, Continued learning, Network","Answer surveys, Coordinate during events, Joint initiative with other groups","identify relevant problems at each stages of professional journey and drive discussions, projects, events, content around it","LinkedIn, My network  - people I know",Local employer,20
Batangas,Philippines,Male,College degree,"Freecodecamp, Youtube bootcamp",Fitness Tech,Professional,Work city different from residence,wfh,"b.125,001 to 250, 000",Full-time,Mostly work from home/ fully remote,Data Engineer,"Data Analyst, Data Scientist, Software Engineer",1 - Just me,python,"Pandas, athena, glue","Postgres, Clickhouse",Dagster,,,,,Amazon Web Services (AWS),PostgreSQL,"Google sheets, Excel, Google Drive, Monday.com, Google Meet, Slack, Discord","DAX (Power BI), M language (Power Query), Python, SQL, VBA",Chatgpt, _,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",AI Pilipinas,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Lead a study group, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives",na,LinkedIn,.,26
Baguio,Philippines,Male,College degree,Coursera,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Zambales,"a.100,001 to 125,000",Full-time,100% onsite,Operations,Process control,11 to 30,,,Big Query,Airflow,Tableau,,,,,,"Google sheets, Excel, Google Drive, OneDrive, MS Teams",na,-,.,laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives", ,"LinkedIn, Indeed",Multinational employer,34
Pangasinan,Philippines,Male,College degree,Datacamp,Not working,Student/ New grad/ Career Break, ,_,,NONE,. , _,None,-,_,. ,none,. , ,_, _,NONE,not applicable,_,"Excel, Discord","DAX (Power BI), Python, SQL",Chatgpt,"Kaggle Notebooks, PythonAnywhere Jupyter Notebook",desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, Data Science Philippines Discussion Group (Moderated), Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition","Coordinate during events, Volunteer for group initiatives",I don't have suggestions for improvement yet.,. ,Undergraduate Student,25
Regina,Canada,Female,College degree,"HackerRank, Kaggle Online course, LeetCode, W3Schools",Not working,Student/ New grad/ Career Break,none, ,, ,_, ,not applicable, _,_, ,None,/, _,NONE,none,-,-,. ,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Slack, Discord","M language (Power Query), Python, SQL","Chatgpt, Copilot, Github copilot","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, FTW Foundation, Power Apps Pilipinas Community","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events","Regularly share valuable content, analyze group insights, and create subgroups or events to foster deeper engagement.", _,/,25
"Pasig, Philippines",Philippines,Male,College degree,Not currently using any digital tools for learning,"IT, BPO, and Business Services",Professional,. ,Bonifacio Global City ,"15,001 to 25,000",Full-time,Hybrid,Software Engineer,"Data Engineer, Data Analyst, Software Engineer, Cloud Architect, Developer",none,None,"Pandas, Spark","Big Query, Snowflake","Airflow, Heroku",Apache Superset,,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP)","Apache Spark, Apache Kafka, PostgreSQL, Elasticsearch","Google sheets, Excel, Google Drive",Python,"Chatgpt, Copilot", _,laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Upskill / Skill acquisition, Network",Other - specify,na,"LinkedIn, Indeed, JobStreet",Multinational employer,33
"Dumaguete City, Philippines",Philippines,Male,College degree,"Datacamp, Udemy",Not working,Student/ New grad/ Career Break,na,none,, _,na,., ,NONE,_,., _,not applicable,. ,_, _,_,NONE,. ,"Google Drive, Slack, Discord","DAX (Power BI), M language (Power Query)","No, I do not use AI currently",,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Science Philippines, Datasense Philippines, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors",Regular knowledge check and ways to improve the newly learned skill each week otherwise add some more.,na,Local employer,22
"Pasig, Philippines",Philippines,Male,College degree,Cisco,Engineering,Student/ New grad/ Career Break,na, _,,not applicable,NONE,_,NONE,None, , ,-,.,NONE,NONE,-,NONE,., _,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",NONE,"Chatgpt, Copilot",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Java User Group Philippines, Python Philippines","Career advancement, Upskill / Skill acquisition", ,-,-,,49
